0: 255,295,191
6: 83,52,57,53,8,192
7: 146,242,182,30
8: 274,80,6,53,192,228,67
9: 155,230,149,257,208,103,17
10: 212,241,48,28,179,320
11: 260,145
12: 285,208,306,273,144,254,168
13: 122,88,204,120,248,163,125
14: 223,114,39,252,318
15: 147,249,185,261,175
16: 288,319
17: 250,248,296,9,149,257,103
18: 272,108,134,282,86,97,179
19: 89,290,325,301,139
20: 274,80,297,102,109,164,43
21: 158,87,253,177,249,185
22: 238,231,27,131,147,263,261
23: 294,205,152,112,272,134
24: 302,234,25,113,61,200
25: 302,24,165,113,214,220
26: 98,137,133,32,289,193
27: 22,238,148,131,135,124
28: 10,179,272,152,128,320
29: 102,109,288
30: 78,7,182,140,81
31: 202,174,38,39,46,52
32: 133,235,279,289,281,72,26
33: 221,126,110,259,55
34: 128,205,152,265
35: 316,191,195,181
36: 112,89,290,99,294,243
37: 82,265
38: 39,51,46,31
39: 38,14,252,174,31
40: 197,178,308,76,73,310
41: 258,79,268,322,240,125
42: 77,73,133,254,47,307
43: 164,242,232,274,20,271,60
44: 229,86,199,97,171,93
45: 217,119,247,266,227,203,75
46: 51,84,38,31,83,52
47: 254,236,168,133,279,42
48: 10,241,179,108,211,315,286
49: 71,267,269,141,70
50: 123,161,198,91,291
51: 84,46,38
52: 83,6,57,46,202,31
53: 83,6,186,80,8,297
54: 301,250,163,74,213
55: 184,259,33,110,266
56: 132,111,166,324,69,158
57: 52,6,202,142,172,192
58: 132,63,111,200,62,196
59: 184,259,188,267
60: 239,275,43,232,65,271
61: 104,113,196,116,200,24
62: 196,63,58
63: 132,58,62,215,176
64: 270,293,313
65: 201,228,271,207,60,275
66: 268,260,222
67: 201,228,135,8,192,148
68: 210,264,90,226,291,129
69: 324,110,299,132,56,126
70: 49,267,141,217,159,75
71: 49,267
72: 94,262,105,317,32,235,289
73: 171,77,42,310,254,197,40
74: 163,240,125,54,136,222,213
75: 159,203,323,217,45,70,156
76: 197,178,139,40,117,309
77: 171,93,73,42,310,307,303
78: 30,276,81
79: 258,41,322,270,293
80: 274,20,8,297,53
81: 140,256,78,30,276,280
82: 37,145,99,243,265
83: 52,6,53,84,46,186
84: 51,46,186,298,190,83
85: 277,244,218,170,121,181
86: 44,97,171,310,308,18,282
87: 158,224,21,253,262,96,317
88: 154,122,13,204,107,92
89: 36,19,290,301,213,99
90: 264,68,291,121,130,277,91
91: 50,198,90,291,277,218
92: 107,313,287,216,154,88
93: 171,77,245,303,210,44,229
94: 227,105,96,72,317,247
95: 215,300,292,176,321,100
96: 94,317,87,224,119,247
97: 44,229,86,199,18,108,304
98: 311,137,245,26,209,193
99: 136,145,213,36,89,243,82
100: 221,126,95,292,299
101: 130,194,312,209,106
102: 29,190,109,186,20,297
103: 208,169,306,9,17,296
104: 61,318,114,116
105: 227,94,72,289,193,189,246
106: 115,195,159,323,312,194,101
107: 92,293,88,204,322
108: 18,97,304,48,179
109: 102,29,288,319,20,164
110: 324,69,157,126,33,55,119,266
111: 132,58,200,56,234,166
112: 36,290,178,139,134,294,23
113: 252,61,318,174,214,24,25
114: 223,14,283,116,104,318
115: 106,191,195,141,159,295
116: 196,283,114,104,61
117: 169,309,296,76,139,325
118: 279,281,263,173,231,236
119: 247,45,266,110,157,224,96
120: 162,149,284,122,13,248
121: 130,194,181,90,277,85
122: 154,13,88,225,120,162
123: 50,161,226,291,199,183
124: 151,230,144,135,238,27
125: 163,240,74,13,204,41,322
126: 100,221,33,299,69,110
127: 237,280,276
128: 34,320,152,28
129: 210,264,68,311,245
130: 121,194,101,209,264,90
131: 172,148,206,261,22,27
132: 63,58,111,56,176,299,69
133: 32,279,47,137,307,26,42
134: 18,272,282,178,112,23
135: 201,67,148,27,151,124
136: 260,222,145,213,99,74
137: 98,245,307,26,303,133
138: 233,161,198,180,278
139: 178,76,117,112,19,290,325
140: 256,81,225,182,30,153
141: 49,269,70,159,295,115
142: 220,206,202,214,57,172
143: 150,244,218,198,233
144: 124,230,238,273,12,208
145: 260,136,99,82,11
146: 7,164,242,319
147: 249,15,263,173,261,22
148: 172,192,131,67,135,27
149: 120,284,257,9,17,248
150: 143,244
151: 124,155,230,201,135,207
152: 23,205,272,28,34,128
153: 167,239,182,140,225,162
154: 122,88,256,225,216,92
155: 151,9,230,207,187,257
156: 312,189,246,203,323,75
157: 324,110,224,119
158: 87,224,21,56,177,166,324
159: 323,75,141,70,106,115
160: 298
161: 123,50,198,180,183,138
162: 120,284,167,153,225,122
163: 74,125,13,250,54,248
164: 146,242,43,109,319,20
165: 177,302,25,220,175,185
166: 177,302,234,111,56,158
167: 153,239,275,187,162,284
168: 254,236,47,273,12
169: 117,103,306,309,296
170: 85,244,316
171: 77,93,73,310,44,86
172: 192,148,131,57,142,206
173: 147,249,263,118,235,281
174: 202,214,31,39,252,113
175: 220,206,165,185,15,261
176: 95,215,299,132,63
177: 302,166,165,158,21,185
178: 308,76,139,40,112,134,282
179: 10,48,28,18,272,108
180: 286,161,138,278,305
181: 121,194,195,35,85
182: 7,242,232,30,153,239,140
183: 315,286,304,199,123,161
184: 59,259,55,217,266,267
185: 249,15,177,165,175,21,253
186: 84,102,190,83,53,297
187: 284,257,207,167,275,155
188: 59,259,221
189: 312,193,246,156,227,105,203
190: 102,84,186,298
191: 115,195,255,0,295,35
192: 172,148,6,57,8,67
193: 209,189,246,105,289,98,26
194: 121,130,181,101,106,195
195: 106,191,115,194,181,35
196: 62,116,61,58,200
197: 76,40,254,285,309,73
198: 50,161,91,218,143,233,138
199: 44,229,97,226,123,183,304
200: 58,111,196,61,234,24
201: 65,228,67,135,207,151
202: 174,214,31,52,57,142
203: 75,247,45,227,189,156
204: 13,88,107,125,322
205: 294,23,152,243,265,34
206: 142,220,175,172,131,261
207: 65,201,275,151,155,187
208: 12,103,306,9,230,144
209: 312,193,246,311,98,130,101,264
210: 68,226,129,245,303,93,229
211: 315,286,241,48,219,305
212: 10,241,320
213: 136,99,301,54,74,89
214: 202,174,113,25,142,220
215: 95,300,176,63
216: 280,287,256,154,92
217: 45,266,184,267,70,75
218: 277,85,244,198,91,143
219: 305,211,241
220: 142,206,175,214,25,165
221: 100,126,33,259,188
222: 260,136,240,74,268,66
223: 14,114,283
224: 158,87,324,157,119,96
225: 140,256,153,162,154,122
226: 210,68,291,229,199,123
227: 94,105,247,45,203,189
228: 65,201,67,271,274,8
229: 44,199,97,93,210,226
230: 151,9,124,155,144,208
231: 22,238,273,263,118,236
232: 242,43,182,60,239
233: 138,198,143
234: 302,24,166,111,200
235: 32,281,253,249,173,262,72
236: 47,168,231,273,118,279
237: 127,287
238: 22,231,27,273,124,144
239: 167,60,153,275,232,182
240: 74,125,268,41,222
241: 10,212,48,211,219
242: 146,7,164,43,232,182
243: 294,205,265,36,99,82
244: 85,218,170,150,143
245: 311,98,137,303,93,210,129
246: 312,209,193,189,156,105
247: 119,45,266,227,94,96,203
248: 17,250,120,149,13,163
249: 147,185,15,173,21,253,235
250: 17,301,54,248,296,163
251: 321
252: 113,318,14,39,174
253: 87,21,249,185,262,235
254: 47,168,12,285,73,42,197
255: 0,191
256: 140,81,225,280,216,154
257: 187,149,284,9,155,17
258: 79,268,41
259: 59,184,188,55,221,33
260: 136,222,145,66,11
261: 147,15,206,175,131,22
262: 72,317,87,253,235
263: 147,173,22,231,118
264: 90,68,129,209,311,130
265: 205,243,37,82,34
266: 217,119,247,45,110,184,55
267: 49,71,70,59,184,217
268: 258,41,240,222,66
269: 49,141
270: 64,293,79
271: 65,228,274,43,60
272: 18,134,23,152,28,179
273: 238,231,144,236,168,12
274: 20,80,8,43,228,271
275: 167,60,239,65,207,187
276: 78,81,127,280
277: 85,218,121,90,91
278: 314,305,180,138
279: 118,133,32,281,236,47
280: 127,216,276,256,81
281: 118,32,235,279,173
282: 18,134,178,308,86
283: 223,114,116
284: 187,120,162,149,257,167
285: 12,306,309,254,197
286: 180,211,183,315,48,305
287: 237,216,92,313
288: 16,319,29,109
289: 32,105,72,193,26
290: 36,112,19,89,325,139
291: 90,68,226,123,50,91
292: 95,321,100
293: 64,107,270,313,79
294: 23,205,243,36,112
295: 0,141,191,115
296: 17,301,250,117,169,103,325
297: 20,80,186,102,53
298: 84,160,190
299: 176,132,100,126,69
300: 95,215,321
301: 250,54,296,19,89,325,213
302: 177,234,24,166,25,165
303: 137,245,307,77,93,210
304: 183,315,199,97,108
305: 219,278,314,180,211,286
306: 12,285,208,169,103,309
307: 137,303,133,77,42
308: 178,40,310,86,282
309: 285,117,169,306,197,76
310: 171,77,73,308,40,86
311: 98,245,209,264,129
312: 209,189,246,156,323,106,101
313: 64,92,293,287
314: 278,305
315: 211,183,286,304,48
316: 35,170
317: 94,262,96,72,87
318: 252,104,113,14,114
319: 16,288,109,146,164
320: 128,10,212,28
321: 95,300,292,251
322: 79,41,204,107,125
323: 159,75,312,156,106
324: 69,110,157,56,158,224
325: 19,290,117,301,296,139
