0: 191,295
6: 395,412,470,83,353,53
7: 331,146,182,30,418
8: 53,80,228,470,192,67
9: 431,208,230,375,257,155
10: 211,241,351,179,48,28
11: 260,145,441
12: 285,391,379,273,431,144,168
13: 248,408,338,88,125,204
14: 223,347,252,452,39
15: 261,175,185,426,147,341
16: 319,288,403,453
17: 438,257,149,335,296,103
18: 86,282,134,112,463,272
19: 117,139,432,290,472,480,76
20: 102,297,355,164,109,274
21: 359,87,249,158,177,224
22: 131,27,261,147,231,238
23: 152,272,134,332,358,205
24: 234,448,422,427,61,200
25: 422,427,220,214,165
26: 443,98,137,289,32,193
27: 22,131,148,135,238,124
28: 272,370,179,351,10,372
29: 288,403,333,473,102
30: 182,140,7,78
31: 439,39,174,38,52,46,202
32: 354,133,281,72,289,443,26
33: 100,221,458,326,361,259
34: 37,265,205,152,128
35: 255,191,364,394,181,316
36: 369,332,358,290,398,294,99
37: 34,265,82
38: 347,51,39,31,46
39: 439,31,14,347,38,252
40: 197,178,399,76,348,479,308
41: 240,322,258,79,345,268
42: 254,47,409,307,414,77
43: 232,417,242,164,274,271
44: 86,444,460,97,108
45: 119,247,424,217,203,75
46: 52,84,83,38,51,31
47: 254,236,168,409,42,279
48: 108,179,304,97,315,211,10
49: 71,445,337,267
50: 233,138,161,198,407,123,442
51: 298,38,84,46
52: 46,83,31,202,412
53: 80,8,353,355,6,470
54: 163,346,125,250,393,433,301
55: 383,184,266,361,59,259
56: 132,111,69,158,166,324
57: 202,365,142,395,412,172
58: 196,200,63,461,132,111
59: 188,259,184,55,71
60: 232,417,449,275,350,239
61: 196,200,466,24,448
62: 116,392,380,196
63: 411,95,461,58,405,176,132
64: 270,336,313
65: 201,465,228,271,417,275,207
66: 222,345,469,268,260,145
67: 148,135,192,228,8,201
68: 210,129,226,264,291,90
69: 132,56,324,176,406,455
70: 410,159,404,217,323,75
71: 49,59,184,267
72: 32,281,235,451,289,317
73: 414,77,360,197,399,171
74: 136,213,393,433,377,222,469
75: 203,156,323,45,70,217
76: 178,40,309,479,117,139,19
77: 414,360,73,42,303,307
78: 276,81,30
79: 258,270,293,322,41
80: 274,53,228,271,8,355
81: 276,78,363,140,280,256
82: 243,441,37,265
83: 52,84,46,186,353,412,6
84: 46,186,83,298,51,430
85: 170,343,394,385,244,218
86: 18,282,310,44,460,108,463
