0: 491,295,364,191
6: 412,395,552,53,353,470
7: 78,30,331,520
8: 80,228,67,53,470,192
9: 155,447,375,208,230,257
10: 211,241,595,179,28,351
11: 260,401,145,583,495
12: 285,391,273,379,584,168
13: 88,338,248,408,484,125
14: 452,557,252,347,39
15: 261,147,579,341,175,185,426
16: 453,288,403
17: 438,257,149,602,542,103,578
18: 463,86,282,112,134
19: 117,564,76,480,432,139,599
20: 274,355,297,102,109,164
21: 224,87,158,493,603,359
22: 131,238,27,261,147,549,231
23: 134,272,573,152,600,370
24: 538,494,61,448,422,598,492
25: 598,427,532,165,422,214,220,365
26: 381,193,289,568,443,98,137
27: 22,131,238,135,124,148
28: 372,351,370,179,272,10,595
29: 288,403,102,473,109
30: 78,7,520,182,140,81
31: 38,39,46,566,202,52
32: 354,133,281,548,568,519,72,289
33: 326,458,502,110,361,259
34: 265,205,152,37,128
35: 191,181,400,316,255,394
36: 541,290,369,358,332,294
37: 82,34,265
38: 347,39,31,51,46
39: 347,38,31,14,252,439,566
40: 479,348,564,76,528,399,178
41: 322,482,487,258,268,345
42: 254,47,409,279,414,77,522
43: 242,164,274,271,232,501
44: 108,86,546,310,97,460
45: 424,544,527,217,75,203
46: 84,83,38,31,51,52
47: 254,236,168,409,279,556,42
48: 211,595,108,179,315,304
49: 505,445,71,580,533
50: 138,442,198,123,161,233
51: 38,298,84,46
52: 412,552,31,46,83,202
53: 355,353,6,470,8,80
54: 163,484,250,346,301,559
55: 361,601,259,525,59
56: 158,513,166,111,489,590,69
57: 202,554,412,395,142,365,560,535
58: 461,531,132,380,111,200,590
59: 188,601,259,55,505,71
60: 275,232,501,239,449,350
61: 196,466,448,538,24
62: 534,116,380,196,104,200
63: 531,436,95,405,176
64: 270,313,336,582
65: 228,271,201,417,465,207
66: 268,345,222,469,145,260
67: 8,228,201,192,148,135,585
68: 517,503,264,129,356,570,511
69: 324,176,406,132,590,56,513
70: 410,217,404,499,75,159
71: 184,533,59,601,505,49
72: 451,508,519,317,32,568,289
73: 414,77,540,529,597,171,507,360,399
74: 377,222,469,433,213,393,136
75: 217,70,499,45,500,203,605
76: 117,564,19,40,139,178
77: 414,540,73,522,529,42
78: 536,30,7,81
79: 258,270,582,487
80: 8,228,271,274,355,53
81: 550,140,363,78,536,30,276
82: 495,37,243,441,583,265
83: 84,46,186,52,552,353
84: 46,83,298,51,430,186
85: 170,394,343,244,385
86: 463,44,546,18,310,282
87: 224,157,96,21,359,262
88: 338,13,604,107,204,125
89: 301,486,454,432,576,480,398
90: 517,291,570,419,402
91: 218,402,385,407,419,569
92: 367,336,154,216,490,313
93: 210,356,467,245,328,471
94: 428,247,451,508,227,105
95: 300,215,436,411,461,531,63
96: 157,87,262,428,386,420
97: 425,444,460,108,44,304
98: 137,245,381,26,456,467
99: 541,446,398,454,462
100: 292,390,342,458,502
101: 209,311,330,106,382,498
102: 190,473,29,20,297,109
103: 521,551,578,306,379,438,17,391
104: 196,466,440,114,62,116
105: 193,246,94,451,227,189
106: 312,382,594,330,101,130
107: 313,88,490,604,204,293
108: 44,546,97,304,48
109: 319,164,102,403,29,20
110: 352,485,326,33,361,383,526
111: 489,200,494,590,132,58,56
112: 139,369,358,178,282,18,134
113: 318,448,422,439,214,252,174
114: 283,440,452,104,466,318
115: 547,340,323,506,312,195
116: 62,537,104
117: 564,19,309,76,472,480,512
118: 481,459,263,173,524,236,556
119: 247,527,386,327,475,544
120: 335,416,483,162,284,149,602
121: 130,194,400,277,344,343
122: 154,216,371,389,518,435
123: 50,442,199,291,161,183
124: 238,27,135,437,151,585,421
125: 240,204,346,88,13,484
126: 455,485,299,406,326,387
127: 504,276,287,363
128: 510,320,34
129: 264,311,456,356,467,68
130: 194,121,106,506,594,330,344
131: 22,27,206,172,148,261
132: 531,58,111,590,69,176
133: 354,32,548,586,409,279,307,545
134: 23,272,573,112,358,463,18
135: 27,124,148,67,585
136: 462,401,145,477,74,469,213
137: 443,98,245,303,307,26
138: 50,161,362,233,514,180
139: 369,112,599,178,19,76,290
140: 550,81,225,30,182,415
141: 547,340,159,404,509,337
142: 220,365,206,560,57
143: 218,407,198,592,581
144: 431,476,584,421,273,481,571
145: 401,136,469,66,260,11
146: 331,520,418,453,242,319
147: 261,15,341,22,549,231
148: 192,172,67,131,27,135
149: 284,17,602,542,120,335,416
150: 170,244,413
151: 437,375,585,124,421,230,476
152: 34,205,600,23,370,510
153: 389,518,562,350,415,239
154: 216,122,371,92,338,490,435,604
155: 167,187,447,9,284,257
156: 500,189,605,323,312,382,498
157: 327,224,87,515,96,386
158: 56,513,166,563,177,603,357,224,21
159: 547,141,323,404,70,499,605
160: 298,561,430
161: 362,478,183,50,138,123
162: 518,562,167,593,284,120,483
163: 54,484,250,296,248,335
164: 109,242,319,43,274,20
165: 25,427,532,175,220,185,575
166: 158,56,513,563,489,177
167: 187,155,593,162,284
168: 254,47,556,273,584,12,285
169: 521,325,551,578,542,296
