0: 491,710,723,674,765
6: 683,412,744,552,52,353
7: 78,30,331,182,520
8: 201,67,228,656,80,694,192
9: 155,447,375,230,257,732,700
10: 28,372,595,646,241,351
11: 260,145,401,583
12: 379,584,273,285,391,168
13: 88,338,408,248,163,484,125
14: 252,695,439,557,634,39
15: 261,147,341,175,579,426,185
16: 453,649,319,288,403
17: 578,438,257,602,542,700,149
18: 112,680,282,178,310,86
19: 139,76,564,722,432,599
20: 109,102,297,355,164,274
21: 177,603,224,493,763,620
22: 743,27,617,753,261,147,231
23: 370,272,134,600,573,152
24: 61,538,735,492,494,746
25: 422,598,214,492,759,712,220,165,616
26: 381,193,289,98,443,675,137
27: 743,124,238,135,617,22,148,131
28: 10,372,370,272,687,595
29: 288,473,757,403,751,705
30: 78,81,7,182,613,140
31: 634,38,566,52,643,202
32: 354,281,548,610,568,72,519
33: 326,458,110,729,259,361
34: 128,510,152,738
35: 711,394,191,255,316
36: 332,573,541,369,747,290,358
37: 641,755,707
38: 634,39,31,51,685,46,643
39: 634,38,557,347,685,14
40: 197,348,479,528,399,657,619
41: 322,482,258,487,345,268
42: 254,279,748,414,77,409,662
43: 733,164,274,762,232,271,417,501
44: 460,546,310,86,97,108
45: 424,544,119,639,527,217,75
46: 298,84,51,38,83,643
47: 254,236,279,748,556,678,168
48: 628,595,179,764,646
49: 505,691,71,580,445
50: 123,442,161,233,637,138
51: 685,298,46,38
52: 552,83,643,31,202,6,412
53: 656,606,355,80,353,297
54: 346,484,163,671,250,301,559,433
55: 188,59,601,259,361,525
56: 69,761,690,590,489,158,166
57: 717,202,554,365,412,535,737
58: 684,132,736,200,380,461,531
59: 188,55,601,505,71
60: 350,449,756,232,275,501
61: 196,538,24,735,466,318,448
62: 534,380,644,754,104,196
63: 531,436,95,684,727,405,176
64: 582,336,313
65: 692,271,417,201,228,465
66: 469,345,222,724,642,260,145
67: 8,201,228,585,148,192,135
68: 570,264,129,356,517,503
69: 324,513,56,761,690,727,406,176
70: 608,720,708,607,404,159,499
71: 505,691,49,615,59,601
72: 508,519,317,32,568,289,451
73: 360,631,507,597,540,667,529,471
74: 609,433,393,469,222,377
75: 605,217,608,720,45,639,203
76: 139,702,19,619,564,479
77: 667,409,529,662,42,414,632
78: 81,30,7,536
79: 258,487,758
80: 656,355,53,274,762,8,228,271
81: 78,30,536,276,550,140,363
82: 441,265,243,495,707
83: 552,52,643,84,46,186,430
84: 160,298,46,561,83,430
85: 716,343,385,244,218
86: 546,310,44,282,680,463,18
87: 763,620,673,96,262,359,721
88: 338,13,740,125,204
89: 301,486,480,432,576,398,454
90: 570,572,739,517,402,419
91: 569,419,407,385,218,622
92: 367,216,336,154,766,490,604
93: 356,467,245,471,768,328,210
94: 227,728,247,668,618,508,105,451
95: 300,63,531,436,677,215
96: 673,157,87,262,428,699,420
97: 425,444,460,44,304,108
98: 381,193,26,137,456,688,245
99: 747,290,398,454,462,446
100: 292,390,342,752,458
101: 106,382,498,209,311,330
102: 190,297,473,757,705,20
103: 551,714,306,670,578,542,391
104: 440,466,537,754,62,196
105: 193,246,451,728,94
106: 382,594,101,330,130,686
107: 490,313,740,270,293,204
108: 628,179,97,546,44,304
109: 403,751,20,319,626,164
110: 326,33,352,361,383,526
111: 234,489,494,200,132,590,760
112: 134,680,358,18,282,139,369,178
113: 448,422,174,318,252,439
114: 252,611,689,466,452,318
115: 547,323,312,340,195,506
116: 754,392
117: 564,472,309,722,512,480
118: 481,459,678,173,263,524,236
119: 742,544,45,719,527
120: 624,416,726,162,284,483
121: 344,653,629,194,400,277,343
122: 154,518,703,725,435
123: 50,442,291,199,767,161,730
124: 743,238,27,135,421,585,151,633
125: 346,484,88,13,240,204
126: 299,406,324,387,485,713
127: 363,287,276,504
128: 510,34,320
129: 311,456,688,356,467,264,68
130: 653,686,629,106,594,506
131: 148,172,206,560,27,617
132: 58,590,736,760,200,111
133: 354,548,586,279,307,545,662
134: 112,680,463,358,573,272,23
135: 124,27,148,67,585,151
136: 630,477,609,469,145,401
137: 443,675,303,26,98,688,245
138: 233,514,50,161,180,362
139: 369,702,19,178,76,599,112
140: 550,225,415,81,30,613
141: 337,682,404,547,159
142: 647,579,206,560,627,365
143: 198,592,581,589,622,218
144: 431,584,421,476,633,571,273
145: 260,11,401,469,66,136
146: 520,418,242,649,696,319,626
147: 261,15,341,549,231,22
148: 131,192,172,67,27,135
149: 624,648,726,17,602,542
150: 413,244,170
151: 706,437,476,633,585,124,135
152: 510,34,738,600,205,370,23
153: 350,239,415,562,749,518,389
154: 122,703,92,216,338,725,604
155: 187,9,447,284,167,257
156: 312,382,498,500,189,651
157: 673,96,661,386,699
158: 603,166,224,513,56,357,761
159: 547,323,499,70,720,404,141
160: 298,84,561
161: 730,478,50,123,138,362
162: 284,167,562,672,483,518,120
163: 671,296,335,13,248,484,54
164: 43,733,626,274,109,20,355,242
165: 712,575,220,532,25,759,175,647,627,185
166: 158,603,563,489,652,56
167: 162,593,284,672,187,155
168: 285,556,273,584,12,254,47
169: 296,663,542,648,521,670
170: 316,394,716,150
171: 360,328,631,229,429
172: 148,131,192,535,750,587,206,560
173: 715,654,263,464,118,459,524,610
174: 113,422,214,439,566,717,554
175: 579,627,575,165,185,15
176: 405,406,63,727,69
177: 603,21,493,701,709
178: 139,702,282,112,18
179: 628,595,48,108,546,687
180: 286,305,621,362,514,138
181: 364,195,194,674,711,191,400
182: 520,418,30,7,613,449
183: 304,730,478,425,614
184: 533,267,410,601,525,266,615
185: 249,426,655,575,165,175,15
186: 190,297,430,552,83,353
187: 207,155,447,275,593,167
188: 59,55,221,259
189: 500,227,728,246,156,498
190: 102,297,186,430,349,473
191: 711,35,674,181,698,255
192: 148,172,750,694,8,67
193: 381,105,246,26,289,451,98
194: 195,181,506,653,121,400
195: 364,340,181,194,506,115
196: 61,538,104,466,62,644
197: 523,623,40,348,479
198: 143,592,622,407,638,637
199: 123,767,679,614,730
200: 380,644,538,132,58,760,111,494
