0: 491,765,710,698,723,674
6: 395,683,744,52,552,999
7: 331,520,696,973,182
8: 656,809,799,80,694,192,67
9: 447,155,997,940,732,230,375
10: 883,28,595,926,949,351
11: 583,591,145,260,401
12: 880,584,273,556,801,823,285,168
13: 88,338,981,408,248,942
14: 557,695,439,791,39,634,566
15: 579,261,575,898,175,426,341
16: 403,649,1034,453
17: 438,700,149,602,648,821,578,542
18: 86,282,680,855,178,310
19: 599,722,398,432,139,76,917
20: 274,1058,762,109,102,53,355,914
21: 177,603,709,874,224,763,620
22: 743,753,231,854,27,617,919,147,1039,1051
23: 272,600,152,878,818,370
24: 234,492,1044,746,494,538
25: 220,712,1004,1046,214,759,945
26: 193,289,443,675,98,381,137
27: 148,131,1049,617,919,135,743,22
28: 10,595,882,687,372,926,370
29: 757,705,841,288,473
30: 824,973,182,78,140,81
31: 791,643,634,985,999,412,202
32: 789,519,864,354,877,937,568
33: 895,110,326,458,259,729,361
34: 128,1005,510,152,738,641
35: 1012,1020,191,711,778,394
36: 358,369,290,541,573,332
37: 707,82,755,641,265
38: 791,39,643,889,685,46,1029
39: 791,38,347,685,14,557
40: 619,528,197,479,523,802,348
41: 268,345,482,853,487,258
42: 279,748,254,662,409,414,77
43: 417,271,274,762,995,733
44: 956,97,108,546,460,852,86
45: 424,976,1030,1036,899,607,217
46: 881,298,889,38,643,1029
47: 678,236,748,1047,556,681,168,254
48: 764,646,840,595,1031
49: 691,944,445,580
50: 138,161,637,291,123,442
51: 889,881
52: 829,552,985,83,999,6
53: 353,355,914,297,102,20
54: 163,671,847,938,484,250
55: 188,59,601,259,525,361
56: 690,927,909,590,1023,798,166,761,1056
57: 202,554,903,717,365,945
58: 531,772,461,1033,132,684
59: 188,55,1045,601
60: 501,954,232,886,756,449,275
61: 318,946,466,448,735,196
62: 868,754,104,534,644,380
63: 176,727,95,531,684,816
64: 582,270,336,860,766,313
65: 815,417,271,228,809,975
66: 145,642,260,345,724,833,830
67: 809,8,192,228,201,585,859
68: 503,827,264,356,963,977,920,570
69: 176,727,690,324,406,513,761
70: 1022,814,608,720,910,843,793
71: 691,1045,601,505,615
72: 519,317,864,508,451,289
73: 872,360,879,807,1040,667,529
74: 834,222,393,833,469,830,609
75: 605,203,720,771,899,217,608
76: 1021,619,702,564,851,19,722,139
77: 632,414,597,948,42,965,1025,409
78: 536,973,30,81
79: 758,258,808
80: 656,809,8,355,762,271
81: 363,140,550,536,78,30,276
82: 707,37,495,989,441,243,265
83: 829,52,552,84,186,430
84: 160,298,980,561,829,83,430
85: 218,385,1000,343,716,244
86: 680,18,852,310,546,44,463
87: 763,620,673,359,721,831,157
88: 740,338,13,204,240,125,942
89: 984,301,486,480,996,576
90: 739,811,517,850,402,419
91: 622,218,385,569,850,407,419
