0: 9,41,15,36,17
6: 34,29,42,32
7: 19,38,24,37,10
8: 10,37,22,27
9: 0,28,41,31,42,15
10: 8,36,7,38,37,27
11: 41,21
12: 19,30,40
13: 27
14: 35,26,34,29
15: 32,38,0,9,36
16: 43,31,42,35,34
17: 0,36
18: 30,33,40
19: 12,7,30,29,32
20: 44,43,31
21: 23,28,41,11
22: 8,39
23: 21,44,28
24: 37,7
25: 33
26: 30,33,14,29
27: 39,8,10,13
28: 9,41,31,44,21,23
29: 34,6,14,30,26,19
30: 18,26,33,29,12,19
31: 16,43,42,20,44,9,28
32: 15,38,6,19
33: 18,30,26,25
34: 6,29,35,14,16
35: 14,34,16
36: 10,15,38,0,17
37: 24,7,8,10
38: 32,15,7,10,36
39: 27,22
40: 18,12
41: 0,9,28,21,11
42: 16,31,6,9
43: 16,31,20
44: 20,31,28,23
