0: 109,167,223,229,55,27,225
6: 46,76,224,202,43,115
7: 35,94,141,92,164,139
8: 23,74,46,115,196,52
9: 176,50,227,13,155,199
10: 118,134
11: 228,149,163,218
12: 58,172,180,53,157,189
13: 17,18,164,155,9,176
14: 49,206,101,75,158
15: 93,100,143,187,96,62,157
16: 36,106,146,65
17: 13,164,69,174,139,176
18: 13,164,155,141,132,160
19: 117,185,133,142,156,32
20: 175,22,87
21: 110,26,29,48,45
22: 37,125,179,123,87,20
23: 8,74,96,186,46,170,143
24: 51,61,83,79,116,109,223
25: 60,215,126,50,102,120
26: 21,110,99,45,161,169
27: 86,121,162,225,154,0,229
28: 136,178,37,123
29: 48,104,21,110
30: 128,171,190,122,103,221
31: 63,166,70,159,38
32: 183,19,153,133,125,142
33: 75,145,192
34: 53,62,154,207,55
35: 7,94,36,151,81,92
36: 16,151,35,94,188
37: 22,147,191,178,28,123
38: 159,101,129,31,70,206
39: 212,161,224,148,76,222
40: 69,174,68,209
41: 54,95,182,47,42,131,183
42: 60,78,47,102,41,182
43: 72,115,135,196,111,202,6
44: 90,117,86,162,112,147,156
45: 212,161,21,26
46: 6,76,170,195,115,8,23
47: 153,102,42,183,41
48: 29,104,122,21,190
49: 14,70,119,206,216
50: 9,126,227,215,199,25
51: 24,220,61,150,83
52: 97,132,160,196,8,74
53: 34,62,154,157,189,12,86
54: 41,95,200,131
55: 61,207,34,154,0,109,225
56: 60,78,88,126,107,149,218
57: 73,130,158,214,145,150
58: 12,172,127,189,90,185,98
59: 66,201,170,93,143
60: 42,78,56,25,126,102
61: 24,51,207,150,55,109
62: 34,53,157,15,187
63: 197,31,70
64: 146,165,65
65: 113,168,165,64,146,16,106
66: 59,80,108,203,211,201,93
67: 122,103,197
68: 107,144,40,174,176,88
69: 40,82,174,139,77,17
70: 49,119,206,63,31,38
71: 99,165,84
72: 43,135,196,94,141,160
73: 57,158,214,101,129,80,204
74: 8,23,138,186,52,97
75: 33,14
76: 6,46,195,222,39,224
77: 81,92,69,82
78: 42,60,56,149,163,182
79: 91,116,83,198,24
80: 66,108,129,73,93,204
81: 77,92,151,35
82: 69,77
83: 198,217,24,51,79
84: 110,71,99
85: 124,134,121,118,226
86: 27,162,53,154,189,44,90
87: 213,123,22,20
88: 176,126,227,68,107,56
89: 91,210
90: 44,117,185,189,58,86
91: 79,116,89
92: 77,81,7,35,139
93: 15,100,143,204,59,66,80
94: 7,35,141,188,36,72,135
95: 41,54,182
96: 23,186,205,15,143,157,180
97: 52,132,74,138,193,184,152
98: 120,133,58,127,140,185
99: 71,165,84,110,26,169,113
100: 15,93,187,204
101: 38,129,14,206,73,158
102: 153,47,120,42,60,25
103: 166,197,221,67,122,30
104: 29,48,122
105: 144,228
106: 16,65,111,168,135,188
107: 68,144,88,56,218
108: 66,80,211,128,159,129
109: 0,223,24,61,55
110: 21,84,26,29,99
111: 114,168,202,106,43,135
112: 124,121,162,44,147
113: 65,169,168,99,165
114: 169,111,168,202,173
115: 43,196,6,46,8
116: 79,91,24,167,223,210
117: 19,44,90,185,156
118: 137,85,134,10
119: 49,70,216,219
120: 153,102,133,98,215,140,25
121: 27,162,229,226,85,112
122: 48,104,67,103,30,190
123: 87,22,37,28
124: 85,112,134,178,136
125: 22,142,191,32,179
126: 88,50,227,60,56,25
127: 58,172,193,140,152,98
128: 30,171,221,159,108,181,211
129: 159,38,101,80,108,73
130: 57,214,187,207,150
131: 179,183,41,54,200,175
132: 52,97,160,18,155,184
133: 153,120,98,19,185,32
134: 85,124,118,10,136
135: 43,72,111,106,94,188
136: 28,124,134,178
137: 210,118,208,167
138: 74,186,205,97,172,193
139: 69,7,92,17,164
140: 215,152,127,120,98
141: 7,94,72,160,18,164
142: 125,191,156,19,32
143: 15,93,59,170,23,96
144: 68,107,209,105
145: 33,57,158,220,150
146: 64,65,16
147: 37,191,156,44,112,178
148: 171,194,212,39,181,222
149: 11,163,218,78,56
150: 51,220,61,207,145,57,130
151: 36,35,81
152: 215,193,184,199,140,97,127
153: 47,102,120,133,32,183
154: 34,53,189,55,27,86,225
155: 13,18,132,184,199,9
156: 142,147,191,19,44,117
157: 53,62,15,96,12,180
158: 57,73,14,101,145
159: 38,129,31,221,128,108
160: 52,132,72,196,141,18
161: 212,39,45,173,224,26,169
162: 27,86,121,44,112
163: 11,149,78,182
164: 13,17,18,7,141,139
165: 71,99,64,65,113
166: 103,197,31,221
167: 0,208,223,229,116,210,137
168: 65,111,113,114,106
169: 113,114,26,99,161,173
170: 46,195,59,201,143,23
171: 30,128,148,190,194,181
172: 12,58,180,127,138,205,193
173: 161,224,169,114,202
174: 40,69,17,176,68
