0: 232,208,167,223,229,225
6: 46,76,173,224,202,43,115
7: 35,94,141,92,164,139
8: 23,74,46,115,196,52,240
9: 238,227,234,13,155
10: 85,118,134
11: 228,149,163,218
12: 58,180,230,189,53,157
13: 17,18,164,155,176,9,238
14: 49,206,101,75,145,158
15: 93,100,143,96,62,157,180
16: 36,106,65,146
17: 13,164,176,69,139,174
18: 13,164,155,141,132,160
19: 117,185,235,133,156,142,32
20: 175,179,87,22
21: 29,48,242,110
22: 123,87,37,125,179,20
23: 8,74,96,186,46,170,143
24: 79,116,83,51,109,61,223
25: 60,102,237,126,50,120
26: 242,110,99,45,161,169
27: 86,121,162,154,229,225
28: 136,178,37,123
29: 48,21,110
30: 128,171,190,122,221,103
31: 221,166,244,70,159,38
32: 183,19,153,235,125,142
33: 75,145,192,220
34: 53,62,154,55,241,243
35: 7,94,36,151,81,92
36: 16,106,151,35,94,188
37: 147,191,178,28,123,22
38: 159,101,129,31,70,206
39: 212,224,233,148,76,222
40: 69,174,82,68,209
41: 54,95,182,42,131,47
42: 60,78,102,47,41,182
43: 72,115,135,196,111,202,6
44: 90,117,86,162,112,156,147
45: 212,161,233,242,26
46: 6,76,170,195,115,8,23
47: 131,183,153,42,102,41
48: 29,104,122,21,190
49: 14,70,119,206,216
50: 126,234,215,237,199,25
51: 83,220,150,61,24
52: 132,160,240,196,8,74
53: 34,62,154,157,12,189,86
54: 41,95,131,200
55: 109,61,243,34,154,232,225
56: 60,78,88,126,107,149,218
57: 130,158,214,145,150
58: 12,172,230,189,98,90,185
59: 66,201,170,93,143
60: 42,78,56,25,102,126
61: 109,150,55,207,243,51,24,232
62: 34,53,157,15,100,187,241
63: 244,197
64: 146,165,65
65: 16,106,165,113,64,146,168
66: 59,80,108,203,211,201,93
67: 122,103,197
68: 107,144,236,40,174,88,209
69: 40,139,174,77,17,82
70: 49,119,206,244,31,38
71: 99,165,84
72: 43,135,196,94,141,160
73: 158,214,101,129,80,204
74: 8,23,138,186,52,97,240
75: 33,145,14
76: 6,46,195,222,39,224
77: 92,239,69,82
78: 42,60,56,149,163,182
79: 91,116,24,83,198
80: 66,108,129,73,93,204
81: 239,151,35
82: 77,40,69
83: 198,217,51,79,24
84: 110,71,99
85: 118,226,231,124,134,10
86: 27,162,53,154,189,44,90
87: 213,123,22,20
88: 126,227,68,107,236,56
89: 210,91
90: 44,117,185,58,189,86
91: 79,116,89
92: 77,239,7,35,139
93: 15,100,143,204,59,66,80
94: 7,35,141,188,36,72,135
95: 41,54,182
96: 23,186,205,15,143,157,180
97: 132,184,240,74,138,193,152
98: 58,172,140,127,185,133
99: 71,165,113,84,26,169
100: 15,93,187,204,62
101: 38,129,14,206,73,158
102: 42,60,25,153,120,47
103: 221,166,197,67,122,30
104: 48,122
105: 144,228
106: 16,36,65,168,111,135,188
107: 68,144,88,56,218
108: 66,80,211,128,159,129
109: 55,61,24,232,223
110: 242,84,26,29,21
111: 168,202,114,106,43,135
112: 231,124,121,162,44,147
113: 99,165,168,169,65
114: 168,169,111,202,173
115: 43,196,6,46,8
116: 79,91,24,167,223,210
117: 19,44,90,185,156
118: 85,137,10
119: 49,70,216,219
120: 153,235,133,237,140,25,102
121: 27,162,229,226,231,112
122: 48,104,67,103,30,190
123: 87,22,37,28
124: 231,112,134,178,85,136
125: 142,191,32,179,183,22
126: 88,50,227,234,60,56,25
127: 193,140,152,172,98
128: 30,171,221,159,108,181,211
129: 159,38,101,80,108,73
130: 57,214,187,150,207
131: 183,47,41,54,175,200
132: 52,97,160,184,240,18,155
133: 235,120,98,19,185
134: 124,85,10,136
135: 43,72,111,106,94,188
136: 28,124,134,178
137: 118,208,167,210
138: 74,186,205,97,193
139: 69,7,92,17,164
140: 215,237,152,127,98,120
141: 7,94,72,160,18,164
142: 156,125,191,19,32
143: 15,93,59,170,23,96
144: 68,107,209,105
145: 33,75,14,57,158,220
146: 64,16,65
147: 156,37,191,44,112,178
148: 171,194,212,39,181,222
149: 11,163,218,78,56
150: 61,207,57,130,220,51
151: 36,35,81
152: 215,193,199,140,127,97,184
153: 235,120,102,32,183,47
154: 34,53,55,225,27,86
155: 13,18,132,184,199,9
156: 142,147,191,19,44,117
157: 53,62,15,96,12,180
158: 57,73,214,14,101,145
159: 38,129,221,31,128,108
160: 52,132,72,196,141,18
161: 45,173,233,26,169
162: 27,86,121,44,112
163: 11,149,78,182
164: 13,17,18,7,141,139
165: 71,99,113,64,65
166: 221,103,197,31
167: 0,208,223,116,210,137
168: 169,111,114,113,106,65
169: 168,114,26,99,113,161
170: 46,195,59,201,143,23
171: 30,128,148,190,194,181
172: 58,230,98,193,127
173: 161,224,233,202,114,6
174: 40,69,17,176,68,236
175: 20,131,179,200
176: 13,17,174,238,236
177: 200
178: 124,37,147,28,136
179: 183,125,22,20,175
180: 12,230,15,96,205,157
181: 203,211,128,148,171,222
182: 41,95,42,78,163
183: 131,32,179,47,153,125
184: 97,132,155,199,152
185: 19,90,117,58,98,133
186: 23,74,96,138,205
187: 100,204,130,214,62
188: 94,36,106,135
189: 12,58,53,86,90
190: 30,171,194,48,122
191: 156,37,125,142,147
192: 217,33
193: 152,127,138,97,172
194: 148,171,190,212
195: 46,76,170,222,201
196: 43,72,115,8,52,160
197: 103,166,67,63
198: 83,217,79
199: 215,152,184,155,50,234
200: 177,131,54,175
201: 59,66,203,170,195,222
202: 111,114,173,6,43
203: 66,181,211,201,222
204: 93,100,187,80,73,214
205: 96,138,186,180,230
206: 14,49,70,38,101
207: 150,61,241,243,130
208: 0,167,229,137,226
209: 40,68,144
210: 89,116,167,137
211: 66,108,181,203,128
212: 39,45,233,148,194
213: 87
214: 57,73,130,158,187,204
215: 237,199,140,152,50
216: 49,119
217: 83,192,198,220
218: 11,228,149,107,56
219: 119
220: 217,51,33,145,150
221: 103,166,31,30,128,159
222: 76,195,148,39,181,203,201
223: 0,232,167,109,116,24
224: 39,173,233,6,76
225: 0,232,229,55,154,27
226: 85,208,229,121,231
227: 9,238,88,126,234
228: 11,218,105
229: 0,208,225,27,121,226
230: 12,58,172,180,205
231: 112,124,121,85,226
232: 0,223,225,109,55,61
233: 212,39,45,161,173,224
234: 9,126,50,227,199
235: 153,133,120,19,32
236: 68,176,174,238,88
237: 215,140,50,120,25
238: 9,227,13,176,236
239: 77,81,92
240: 52,97,132,8,74
241: 207,243,34,62
242: 110,26,21,45
243: 55,61,207,241,34
244: 63,31,70
