0: 191,115,141
6: 52,83,202,53,192,8,57
7: 146,164,182,30
8: 192,216,6,53,67,80
9: 151,155,124,149,144,103,169
10: 128,179,48
11: 145,136,66
12: 42,47,144,168,219,197,73
13: 120,122,162,88,204,163,125
14: 39,38,104,114
15: 185,147,175,172,22,131
16: 29,109,146
17: 54,19,163,149,103,117
18: 28,134,179,86,108,97
19: 17,54,117,139,89,112
20: 53,109,186,164,43,80
21: 185,147,87,177,158,173
22: 27,131,15,147,118,168
23: 28,134,210,205,152
24: 200,111,165,61,113,25,166
25: 207,142,113,174,24,165
26: 32,72,133,105,137,193
27: 22,124,131,209,144,168
28: 18,23,134,179,152,128
29: 190,208,16,102,109
30: 81,7,78,182,140
31: 202,39,174,38,46,52
32: 26,72,133,173,118,47
33: 110,126,100,188,59,55
34: 37,205,152
35: 206,181,191,170,220
36: 82,99,89,112
37: 34,205,82,145
38: 14,31,46
39: 14,31,174,104,113
40: 171,73,76,86,178
41: 79,66,125,204,74,136
42: 12,47,133,77,73
43: 65,80,20,164,182,60
44: 171,93,129,68,199,97
45: 55,184,119,203,156,75
46: 52,83,84,38,51,31
47: 12,42,168,32,133,118
48: 180,108,183,179,10
49: 71,70,141
50: 68,90,91,123,161,198
51: 214,46,84
52: 46,83,6,31,202,57
53: 20,186,83,6,8,80
54: 17,74,19,163,125,89
55: 184,45,119,33,110,59
56: 157,158,166,132,111,69
57: 192,172,215,202,52,6,142
58: 63,176,132,62,196,200
59: 188,71,33,55,184
60: 182,211,153,43,65,167
61: 104,116,113,196,24,200
62: 196,58,63
63: 58,176,62,95
64: 217,92,107
65: 43,67,80,167,60,201
66: 41,11,136
67: 65,80,135,8,216,201
68: 50,90,129,44,199,123
69: 110,126,176,132,56,157
70: 159,141,75,71,184,49
71: 59,184,49,70
72: 26,32,173,87,94,105
73: 40,77,171,12,42,219,197,76
74: 54,41,125,99,89,136
75: 159,70,184,45,156,213
76: 139,178,221,197,117,40,73
77: 171,73,133,42,93,137
78: 81,127,30
79: 41,107,204
80: 43,65,67,20,53,8
81: 154,127,30,78,140
82: 36,99,145,37,205
83: 46,52,84,6,53,186
84: 46,83,51,214,190,186
85: 150,170,206,91
86: 178,40,171,97,18,134
87: 177,158,21,94,96,72,173
88: 92,107,204,154,13,122
89: 36,99,54,74,19
90: 50,68,91,129,130,121
91: 50,90,206,121,85,198
92: 88,107,154,217,64
93: 98,129,137,44,77,171
94: 203,105,96,87,72
95: 63,176,100,126
96: 203,94,87,157,158,119
97: 108,199,44,171,86,18
98: 93,129,130,137,193,101
99: 36,82,89,74,145,136
100: 95,33,126,188
101: 106,189,194,98,130,193
102: 109,186,29,190
103: 117,169,9,149,17
104: 114,116,61,113,14,39
105: 203,94,26,72,189,193
106: 101,213,189,194,195,159
107: 88,92,204,64,79
108: 199,183,97,18,179,48
109: 20,102,29,16,146,164
110: 33,69,126,157,55,119
111: 24,200,165,132,56,166
112: 36,19,210,139,221
113: 104,61,39,174,24,25
114: 104,116,14
115: 159,141,195,0,191
116: 104,114,61,196
