0: 214,228
1: 218,239,48,181,3
2: 141,159,217,212,25,177
3: 187,143,1,218,48,62,222
4: 229,146,150,119,164,98,139
5: 123,174,43
6: 61,131,140
7: 37,42,192,119,163,164,139
8: 83,149,199,117,221,207
9: 109,99,34
10: 180,142,170,167,17,208
11: 24,104,141
12: 49,234,158,144,98,112
13: 220,129,81,103,237
14: 31,84,234,134
15: 48,97,104,181,159,38,75
16: 180,142,236,172,82,168
17: 22,208,163,10,142,113
18: 200,147,107,31,23,129
19: 108,106,195,161,20,160
20: 170,137,160,169,19,108
21: 27,67,128,232,238,132
22: 17,119,208,130,163,126
23: 220,129,174,18,147,123
24: 155,185,11,97,104
25: 73,212,2,177,135
26: 197,34,33,41,47
27: 21,67,128,168,113,42
28: 50,224,105,183,54
29: 200,147,32
30: 206,176,186,165
31: 77,94,84,14,107,134,18
32: 77,140,29,200
33: 46,41,26
34: 169,26,197,9,99,219
35: 68,166,192,173,71,81
36: 74,213,120,61
37: 7,42,233,192,128,68
38: 60,75,15,159,177,55
39: 194,237,88,166,92,63,124
40: 50,179,114,198,70,151
41: 46,79,33,26,47,78
42: 7,37,233,113,163,27,128
43: 175,178,103,174,5
44: 66,65,136
45: 63,85,86,118,193
46: 215,79,41,33
47: 78,218,41,26,197,52
48: 15,181,1,239,3,75,222
49: 12,69,234,216,158,231,84
50: 179,40,114,28,105,54
51: 153,127,106,161,152,64
52: 187,197,47,218,137,167
53: 58,127,57,191,195
54: 183,66,50,179,28
55: 177,148,162,157,38,60
56: 99,219,111,191,108,195
57: 191,53,58
58: 53,171,57
59: 230,102,87,209
60: 38,62,75,222,196,55,162
61: 6,131,36
62: 60,222,196,3,143,130
63: 45,85,124,118,194,39
64: 152,105,121,127,227,51
65: 154,70,136,66,179,44
66: 54,179,44,65
67: 21,27,168,238,89,100,82
68: 35,72,166,37,233,192
69: 49,213,231,94,84,131
70: 154,65,179,40,151
71: 173,134,192,164,112,35
72: 68,166,128,233,88,132
73: 25,76,122
74: 36,120,83,199,102
75: 38,60,222,15,48
76: 225,135,87,73,122,149
77: 31,94,140,200,32
78: 47,218,239,79,41,181
79: 46,215,41,185,78,97,181
80: 145,165,206,86,138
81: 173,35,166,92,237,129,13
82: 89,236,91,16,67,168
83: 209,149,199,8,102,74
84: 31,94,14,49,69,234
85: 45,63,86,124,116,125
86: 45,85,206,116,80,193
87: 76,122,209,149,59
88: 93,132,72,166,124,39
89: 198,100,82,91,67
90: 171,95,121
91: 236,153,152,114,198,89,82
92: 166,81,39,237
93: 88,188,132,223,125,124
94: 31,77,84,69,131,140
95: 224,90,121,183
96: 101,184,223,189,125
97: 15,104,181,79,24,185
98: 164,112,139,4,150,144,12
99: 219,111,56,109,9,34
100: 198,89,67,238,184,188
101: 96,151,184,190,154,189
102: 59,230,83,209,74
103: 194,237,220,174,13,43,178
104: 15,97,24,11,141,159
105: 152,64,121,224,50,114,28
106: 19,195,161,127,51
107: 173,134,31,129,18
108: 19,219,56,169,20
109: 9,99,111
110: 214,186,228,235,154,136,190
111: 99,56,109,191
112: 164,98,12,234,71,134
113: 142,17,163,27,168,42
114: 50,40,152,105,91,198
115: 144,221,182,207,210,150,158
116: 206,176,189,125,85,86
117: 221,210,148,157,225,149,8
118: 45,63,194,193,156,178
119: 22,130,163,4,146,7,139
120: 36,74,213,231,199,216
121: 64,105,90,171,227,95,224
122: 73,76,87
123: 5,23,174,147
124: 63,85,88,93,125,39
125: 116,189,96,223,93,85,124
126: 22,208,130,143,226
127: 53,227,106,195,64,51
128: 21,27,37,42,233,132,72
129: 220,23,13,173,81,107,18
130: 22,119,126,143,62,196,229,146
131: 6,61,140,69,213,94
132: 88,93,188,21,128,232,72
133: 193,156
134: 173,71,107,112,234,31,14
135: 225,76,25,177,148
136: 65,44,228,110
137: 20,170,167,169,197,52
138: 193,145,80,211
139: 164,98,119,163,4,7,192
140: 6,131,77,94,32
141: 2,159,217,11,104
142: 10,16,180,113,17,168
143: 187,3,226,62,222,130,126
144: 115,182,150,98,12,158
145: 165,80,138,211
146: 4,229,150,119,130
147: 29,18,200,23,123
148: 177,55,162,157,225,135,117
149: 83,209,8,225,76,87,117
150: 4,229,146,144,115,182,98
151: 101,184,40,198,154,70
152: 64,105,51,153,91,114
153: 51,236,172,91,161,152
154: 65,70,101,151,190,110
155: 24,185,215
156: 175,178,118,133,193
157: 148,55,162,117,182,210
158: 12,49,216,144,115,207
159: 2,141,15,104,38
160: 20,170,19,161,172,180
161: 19,106,160,51,172,153
162: 148,55,157,60,196,182
163: 17,22,119,113,7,42,139
164: 98,112,139,4,7,192,71
165: 145,80,30,206
166: 35,68,72,92,88,81,39
167: 170,137,187,52,226,10,208
168: 27,67,16,142,113,82
169: 197,34,219,108,20,137
170: 20,137,160,167,10,180
171: 58,227,90,121
172: 236,153,161,160,16,180
173: 71,81,107,134,35,129
174: 220,23,103,43,5,123
175: 43,156,178
176: 30,206,116,189,186,235
177: 148,55,2,25,38,135
178: 43,175,156,118,103,194
179: 50,40,66,54,65,70
180: 10,16,142,170,160,172
181: 15,48,97,79,1,78,239
182: 144,115,210,196,162,157,229,150
183: 54,95,224,28
184: 96,101,151,223,198,100,188
185: 24,155,215,79,97
186: 214,110,235,30,176
187: 3,52,143,226,218,167
188: 93,132,100,232,238,184,223
189: 116,176,125,96,101,190,235
190: 101,154,110,235,189
191: 57,111,56,53,195
192: 7,37,164,139,35,68,71
193: 133,138,45,86,118,156
194: 103,39,237,63,118,178
195: 19,106,191,56,53,127
196: 60,62,162,130,229,182
197: 169,26,34,47,137,52
198: 89,100,91,40,114,151,184
199: 83,8,207,216,74,120
200: 29,18,147,77,32
206: 30,116,176,86,165,80
207: 115,221,199,8,216,158
208: 17,22,126,167,226,10
209: 83,149,87,59,102
210: 115,117,221,182,157
211: 145,138
212: 25,2,217
213: 36,120,231,69,131
214: 186,228,110,0
215: 46,79,155,185
216: 49,158,207,199,120,231
217: 2,141,212
218: 1,47,78,239,187,3,52
219: 99,56,169,34,108
220: 23,129,174,13,103
221: 115,117,207,210,8
222: 60,62,75,48,3,143
223: 96,184,93,188,125
224: 95,105,121,183,28
225: 76,135,148,117,149
226: 187,143,167,208,126
227: 171,127,64,121
228: 214,110,136,0
229: 4,146,150,196,130,182
230: 59,102
231: 213,120,49,69,216
232: 21,238,188,132
233: 37,42,128,68,72
234: 12,49,112,134,84,14
235: 186,110,190,176,189
236: 172,153,91,16,82
237: 103,194,39,92,81,13
238: 21,67,232,100,188
239: 1,78,218,48,181
